id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,custom_label_1
QUEROBROA-T,Caixa Tradicional,1 caixa com 7 broas tradicionais.,in stock,new,40.00 BRL,https://querobroa.com.br/pedido?catalog=T,https://querobroa.com.br/querobroa-brand/cardapio/tradicional.jpg?v=fce0ace,QUEROBROA,BROAS,CAIXA_FECHADA
QUEROBROA-G,Caixa Goiabada,1 caixa com 7 broas de goiabada.,in stock,new,50.00 BRL,https://querobroa.com.br/pedido?catalog=G,https://querobroa.com.br/querobroa-brand/cardapio/goiabada.jpg?v=fce0ace,QUEROBROA,BROAS,CAIXA_FECHADA
QUEROBROA-D,Caixa Doce de Leite,1 caixa com 7 broas de doce de leite.,in stock,new,52.00 BRL,https://querobroa.com.br/pedido?catalog=D,https://querobroa.com.br/querobroa-brand/cardapio/doce-de-leite.jpg?v=fce0ace,QUEROBROA,BROAS,CAIXA_FECHADA
QUEROBROA-Q,Caixa Queijo do Serro,1 caixa com 7 broas de queijo do Serro.,in stock,new,52.00 BRL,https://querobroa.com.br/pedido?catalog=Q,https://querobroa.com.br/querobroa-brand/cardapio/queijo-do-serro-camadas.jpg?v=fce0ace,QUEROBROA,BROAS,CAIXA_FECHADA
QUEROBROA-R,Caixa Requeijão de Corte,1 caixa com 7 broas de requeijão de corte.,in stock,new,52.00 BRL,https://querobroa.com.br/pedido?catalog=R,https://querobroa.com.br/querobroa-brand/cardapio/requeijao-de-corte.jpg?v=fce0ace,QUEROBROA,BROAS,CAIXA_FECHADA
QUEROBROA-RJ,Caixa Romeu e Julieta,1 caixa com 7 broas de romeu e julieta.,in stock,new,52.00 BRL,https://querobroa.com.br/pedido?catalog=RJ,https://querobroa.com.br/querobroa-brand/cardapio/romeu-e-julieta.jpg?v=20260422-rj3,QUEROBROA,BROAS,CAIXA_FECHADA
QUEROBROA-MG,Caixa Mista de Goiabada,1 caixa com 4 broas tradicionais e 3 de goiabada.,in stock,new,45.00 BRL,https://querobroa.com.br/pedido?catalog=MG,https://querobroa.com.br/querobroa-brand/cardapio/mista-goiabada.jpg?v=fce0ace,QUEROBROA,BROAS,CAIXA_MISTA
QUEROBROA-MD,Caixa Mista de Doce de Leite,1 caixa com 4 broas tradicionais e 3 de doce de leite.,in stock,new,47.00 BRL,https://querobroa.com.br/pedido?catalog=MD,https://querobroa.com.br/querobroa-brand/cardapio/mista-doce-de-leite.jpg?v=fce0ace,QUEROBROA,BROAS,CAIXA_MISTA
QUEROBROA-MQ,Caixa Mista de Queijo do Serro,1 caixa com 4 broas tradicionais e 3 de queijo do Serro.,in stock,new,47.00 BRL,https://querobroa.com.br/pedido?catalog=MQ,https://querobroa.com.br/querobroa-brand/cardapio/mista-queijo-do-serro.jpg?v=fce0ace,QUEROBROA,BROAS,CAIXA_MISTA
QUEROBROA-MR,Caixa Mista de Requeijão de Corte,1 caixa com 4 broas tradicionais e 3 de requeijão de corte.,in stock,new,47.00 BRL,https://querobroa.com.br/pedido?catalog=MR,https://querobroa.com.br/querobroa-brand/cardapio/mista-requeijao-de-corte.jpg?v=fce0ace,QUEROBROA,BROAS,CAIXA_MISTA
QUEROBROA-MRJ,Caixa Mista de Romeu e Julieta,1 caixa com 4 broas tradicionais e 3 de romeu e julieta.,in stock,new,47.00 BRL,https://querobroa.com.br/pedido#caixas-mistas,https://querobroa.com.br/meta-catalog/mista-romeu-e-julieta-meta-square-v2.jpg?v=20260422-rj3,QUEROBROA,BROAS,CAIXA_MISTA
QUEROBROA-S,Caixa Sabores,Monte 1 caixa com 7 broas escolhendo os sabores no pedido.,in stock,new,52.00 BRL,https://querobroa.com.br/pedido?catalog=S,https://querobroa.com.br/querobroa-brand/cardapio/sabores-caixa.jpg?v=20260422-rj3,QUEROBROA,BROAS,MONTE_SUA_CAIXA
QUEROBROA-AMIGA-301,Café torrado e moído,"Torra média • Catucaí Amarelo 24/137 • Fazenda Dona Luiza • Cambuquira/MG • 250g.",in stock,new,45.00 BRL,https://querobroa.com.br/pedido#amigas-da-broa,https://api.querobroa.com.br/uploads/products/prd_fb3803ba409e4b95.webp,QUEROBROA,AMIGAS_DA_BROA,AMIGAS_DA_BROA
QUEROBROA-AMIGA-306,Geléia (zero açúcar),"Damasco • IBÁ Brasil • 125g.",in stock,new,31.90 BRL,https://querobroa.com.br/pedido#amigas-da-broa,https://querobroa.com.br/meta-catalog/geleia-zero-meta-square-v2.jpg?v=20260417-meta2,QUEROBROA,AMIGAS_DA_BROA,AMIGAS_DA_BROA
QUEROBROA-AMIGA-305,Geléia,"Amora com cumaru • IBÁ Brasil • 125g.",in stock,new,28.90 BRL,https://querobroa.com.br/pedido#amigas-da-broa,https://querobroa.com.br/meta-catalog/geleia-amora-meta-square-v2.jpg?v=20260417-meta2,QUEROBROA,AMIGAS_DA_BROA,AMIGAS_DA_BROA
QUEROBROA-AMIGA-304,Manteiga (bisnaga),"Extra com sal • IBÁ Brasil • 100g.",in stock,new,28.90 BRL,https://querobroa.com.br/pedido#amigas-da-broa,https://querobroa.com.br/meta-catalog/manteiga-meta-square-v2.jpg?v=20260417-meta2,QUEROBROA,AMIGAS_DA_BROA,AMIGAS_DA_BROA
QUEROBROA-AMIGA-303,Palitos de queijo (Pequelito),"Parmesão • Pequê • 500g.",in stock,new,50.00 BRL,https://querobroa.com.br/pedido#amigas-da-broa,https://api.querobroa.com.br/uploads/products/prd_086d0fbb4d4f453d.webp,QUEROBROA,AMIGAS_DA_BROA,AMIGAS_DA_BROA
QUEROBROA-AMIGA-302,Pão de queijo recheado,"Recheado requeijão • Pequê • 500g.",in stock,new,48.00 BRL,https://querobroa.com.br/pedido#amigas-da-broa,https://api.querobroa.com.br/uploads/products/prd_ba48bfddfccb487c.webp,QUEROBROA,AMIGAS_DA_BROA,AMIGAS_DA_BROA
